x,y
1281744000,0
1281830400,0
1281916800,0
1282003200,0
1282089600,0.07
1282176000,0.07
1282262400,0.07
1282348800,0.07
1282435200,0.07
1282521600,0.07
1282608000,0.07
1282694400,0.07
1282780800,0.07
1282867200,0.07
1282953600,0.07
1283040000,0.06
1283126400,0.07
1283212800,0.07
1283299200,0.06
1283385600,0.06
1283472000,0.06
1283558400,0.06
1283644800,0.06
1283731200,0.06
1283817600,0.06
1283904000,0.06
1283990400,0.06
1284076800,0.06
1284163200,0.06
1284249600,0.06
1284336000,0.06
1284422400,0.06
1284508800,0.09
1284595200,0.15
1284681600,0.06
1284768000,0.06
1284854400,0.06
1284940800,0.06
1285027200,0.06
1285113600,0.06
1285200000,0.06
1285286400,0.06
1285372800,0.06
1285459200,0.06
1285545600,0.06
1285632000,0.06
1285718400,0.06
1285804800,0.06
1285891200,0.06
1285977600,0.06
1286064000,0.06
1286150400,0.06
1286236800,0.06
1286323200,0.06
1286409600,0.06
1286496000,0.07
1286582400,0.1
1286668800,0.12
1286755200,0.12
1286841600,0.12
1286928000,0.1
1287014400,0.1
1287100800,0.11
1287187200,0.12
1287273600,0.11
1287360000,0.1
1287446400,0.1
1287532800,0.1
1287619200,0.1
1287705600,0.11
1287792000,0.11
1287878400,0.13
1287964800,0.18
1288051200,0.16
1288137600,0.19
1288224000,0.19
1288310400,0.19
1288396800,0.19
1288483200,0.19
1288569600,0.2
1288656000,0.2
1288742400,0.21
1288828800,0.27
1288915200,0.24
1289001600,0.25
1289088000,0.34
1289174400,0.47
1289260800,0.36
1289347200,0.32
1289433600,0.26
1289520000,0.24
1289606400,0.26
1289692800,0.3
1289779200,0.3
1289865600,0.28
1289952000,0.28
1290038400,0.28
1290124800,0.29
1290211200,0.28
1290297600,0.29
1290384000,0.29
1290470400,0.28
1290556800,0.29
1290643200,0.28
1290729600,0.28
1290816000,0.29
1290902400,0.28
1290988800,0.28
1291075200,0.28
1291161600,0.26
1291248000,0.23
1291334400,0.25
1291420800,0.26
1291507200,0.25
1291593600,0.23
1291680000,0.23
1291766400,0.23
1291852800,0.25
1291939200,0.23
1292025600,0.21
1292112000,0.23
1292198400,0.23
1292284800,0.23
1292371200,0.23
1292457600,0.25
1292544000,0.25
1292630400,0.25
1292716800,0.25
1292803200,0.26
1292889600,0.27
1292976000,0.27
1293062400,0.26
1293148800,0.25
1293235200,0.25
1293321600,0.25
1293408000,0.27
1293494400,0.27
1293580800,0.29
1293667200,0.3
1293753600,0.3
1293840000,0.3
1293926400,0.3
1294012800,0.3
1294099200,0.3
1294185600,0.3
1294272000,0.3
1294358400,0.3
1294444800,0.32
1294531200,0.32
1294617600,0.32
1294704000,0.33
1294790400,0.33
1294876800,0.36
1294963200,0.42
1295049600,0.44
1295136000,0.4
1295222400,0.4
1295308800,0.4
1295395200,0.38
1295481600,0.35
1295568000,0.38
1295654400,0.44
1295740800,0.43
1295827200,0.44
1295913600,0.44
1296000000,0.43
1296086400,0.42
1296172800,0.43
1296259200,0.45
1296345600,0.45
1296432000,0.48
1296518400,0.61
1296604800,0.92
1296691200,0.82
1296777600,0.78
1296864000,0.89
1296950400,0.92
1297036800,0.92
1297123200,0.9
1297209600,0.91
1297296000,0.97
1297382400,1.08
1297468800,1.03
1297555200,1.09
1297641600,1.08
1297728000,1.08
1297814400,1.08
1297900800,1.05
1297987200,1.05
1298073600,1.04
1298160000,1
1298246400,0.94
1298332800,0.88
1298419200,0.89
1298505600,0.95
1298592000,0.96
1298678400,1
1298764800,0.98
1298851200,0.96
1298937600,0.95
1299024000,0.97
1299110400,0.95
1299196800,0.94
1299283200,0.93
1299369600,0.92
1299456000,0.91
1299542400,0.91
1299628800,0.9
1299715200,0.88
1299801600,0.89
1299888000,0.93
1299974400,0.92
1300060800,0.91
1300147200,0.9
1300233600,0.9
1300320000,0.89
1300406400,0.87
1300492800,0.84
1300579200,0.82
1300665600,0.79
1300752000,0.79
1300838400,0.81
1300924800,0.86
1301011200,0.9
1301097600,0.89
1301184000,0.9
1301270400,0.89
1301356800,0.84
1301443200,0.8
1301529600,0.8
1301616000,0.8
1301702400,0.8
1301788800,0.8
1301875200,0.8
1301961600,0.77
1302048000,0.72
1302134400,0.75
1302220800,0.78
1302307200,0.79
1302393600,0.77
1302480000,0.76
1302566400,0.81
1302652800,0.92
1302739200,0.99
1302825600,0.98
1302912000,1.09
1302998400,1.09
1303084800,1.11
1303171200,1.2
1303257600,1.19
1303344000,1.2
1303430400,1.23
1303516800,1.38
1303603200,1.65
1303689600,1.89
1303776000,1.71
1303862400,1.78
1303948800,2.12
1304035200,2.66
1304121600,3.05
1304208000,4.14
1304294400,3.95
1304380800,3.49
1304467200,3.51
1304553600,3.56
1304640000,3.52
1304726400,3.62
1304812800,3.75
1304899200,3.91
1304985600,4.24
1305072000,5.41
1305158400,6.04
1305244800,6.55
1305331200,8.56
1305417600,8.82
1305504000,8.54
1305590400,8.47
1305676800,8.27
1305763200,7.75
1305849600,7.28
1305936000,6.98
1306022400,6.61
1306108800,6.81
1306195200,7.39
1306281600,7.27
1306368000,7.95
1306454400,9.23
1306540800,8.88
1306627200,8.68
1306713600,8.62
1306800000,9.12
1306886400,9.47
1306972800,9.67
1307059200,11.46
1307145600,15.05
1307232000,17.79
1307318400,19.05
1307404800,19.19
1307491200,22.14
1307577600,31.81
1307664000,32.34
1307750400,33.8
1307836800,28.8
1307923200,24.87
1308009600,23.66
1308096000,20.75
1308182400,19.99
1308268800,19.82
1308355200,18.87
1308441600,17.6
1308528000,18.51
1308614400,16.91
1308700800,15.39
1308787200,15.28
1308873600,16.18
1308960000,16.95
1309046400,17.58
1309132800,17.63
1309219200,17.89
1309305600,17.47
1309392000,17.35
1309478400,17.38
1309564800,16.88
1309651200,16.3
1309737600,15.74
1309824000,15.65
1309910400,15.36
1309996800,16.44
1310083200,16.1
1310169600,15.49
1310256000,15.16
1310342400,15.56
1310428800,15.07
1310515200,14.52
1310601600,14.14
1310688000,14.15
1310774400,14.25
1310860800,14.07
1310947200,13.9
1311033600,13.93
1311120000,14.54
1311206400,14.02
1311292800,13.94
1311379200,13.93
1311465600,13.93
1311552000,14.16
1311638400,14.66
1311724800,14.34
1311811200,14.1
1311897600,13.95
1311984000,13.8
1312070400,14.06
1312156800,14.58
1312243200,13.53
1312329600,13.37
1312416000,12.71
